"ID","userID","method","firstStudy","timeStamp","demographics","language","syslanguage","browser","screenWidth","screenHeight"
"43","30355170026116","in-situ","0","1535980233030","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:23","en","de","Firefox,61.0","1064","607"
"44","90161329806651","Lab","0","1536220685563","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:28","en","de","Firefox,61.0","1280","607"
"45","23023104055253","Lab","0","1536224609893","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:23","en","de","Firefox,61.0","1280","607"
"46","21892859872322","Lab","0","1536231830806","Gender:female;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:21","en","de","Firefox,61.0","1280","607"
"47","48097325918340","Lab","0","1536234189550","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:22","en","de","Firefox,61.0","1280","607"
"48","75658150860793","AR","0","1536238324042","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:23","en","de","Firefox,61.0","1280","607"
"49","67413850655731","AR","0","1536244136802","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:21","en","de","Firefox,61.0","1280","607"
"51","14506963544261","AR","0","1536246756927","Gender:female;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:31","en","de","Firefox,61.0","1280","607"
"52","61570217888299","AR","0","1536249715154","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:27","en","de","Firefox,61.0","1280","607"
"53","89025929409531","VR","0","1536303680015","Gender:female;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:27","en","de","Firefox,61.0","1280","607"
"54","16474639409642","VR","0","1536307319023","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:24","en","de","Firefox,61.0","1280","607"
"55","59879314795481","VR","0","1536311208167","Gender:female;Occupation:Engineering;Graduation:doctoral degree;Nationality:Germany;Age:44","en","de","Firefox,61.0","1280","607"
"56","36664622776698","VR","0","1536325447785","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:India;Age:24","en","de","Firefox,62.0","1280","607"
"57","85406913030644","in-situ","0","1536333216069","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:25","en","de","Firefox,62.0","1280","607"
"59","92958668987578","in-situ","0","1536508905377","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:India;Age:27","en","de","Firefox,62.0","1280","607"
"60","18482691685545","in-situ","0","1536597966794","Gender:female;Occupation:Humanities;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:25","en","de","Firefox,62.0","1280","607"
"62","59420323646347","online","0","1536608420038","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:24","en","de-DE","Chrome,68.0.3440.106","1536","730"
"63","16735469086095","online","0","1536646917913","Gender:male;Occupation:Natural Sciences;Graduation:completed university studies;Nationality:Germany;Age:27","en","en-US","Firefox,61.0","1366","618"
"64","93208158327578","online","0","1536659994365","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:22","en","de","Chrome,69.0.3497.86","360","340"
"65","94084965825178","online","0","1536693059303","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:25","en","de-DE","Safari,11.0","328","326"
"67","31500174336951","online","0","1536693668811","Gender:female;Occupation:Others;Graduation:completed university studies;Nationality:Germany;Age:24","en","de-DE","Chrome,68.0.3440.91","360","308"
"68","14446891594762","online","0","1536694613408","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:India;Age:29","en","en-US","Chrome,68.0.3440.106","1366","662"
"70","60479697471513","online","0","1536696786031","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:23","en","de","Firefox,62.0","1920","944"
"71","90277848306645","online","0","1536698461469","Gender:female;Occupation:Others;Graduation:completed university studies;Nationality:France;Age:46","en","de-DE","Chrome,58.0.3029.110","1242","592"
"72","43021318768022","online","0","1536699742553","Gender:female;Occupation:Others;Graduation:completed university studies;Nationality:Germany;Age:28","en","de","Firefox,62.0","1707","825"
"74","28527011200081","online","0","1536738094124","Gender:female;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:25","en","de","Chrome,68.0.3440.91","412","366"
"75","44601486582024","online","0","1536742692714","Gender:male;Occupation:Others;Graduation:none;Nationality:Germany;Age:24","en","de-DE","Safari,11.0","328","313"
"76","90999696398818","online","0","1536748852893","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:22","en","de-DE","Chrome,68.0.3440.106","1920","943"
